scatola;gr,TARA
23;360,08
13;449
9;370
11;214
14;359
20;267
19;362,15
31;359,25
30;362,6
25;361,46
NA;449
3;178
26;370,65
27;359,94
22;360,15
8;359
21;259,9
12;360
10;259
18;362
6;181
7;362
24;361,16
28;360,98
16;364,5
29;361,3
17;196
5;359
NA;196
1;259
4;260
