“Densità del petrolio=0,761 g/cm^3 e densità suolo=2,65 g/gm^3”;;;;;;;;;;
“PI= peso iniziale, PSV= peso dopo una notte sotto vuoto, PSP= peso della spinta, P105 peso a 105°. Dati acquisiti a Dicembre 2016”;;;;;;;;;;
PROGRESSIVO;TRT;APPEZZAMENTO;COD;PARCELLA;REPLICA;LAVORAZIONE;P.Iniz.gr;P.Svuoto.gr;P.Spinta.gr;P.105.gr
90;OO;4;C;3;b;Fzo;8,646;8,611;3,671;8,402
91;CO;9;A;1;b;Ara;12,144;12,1;4,68;11,772
92;CO;9;B;1;b;Rip;10,421;10,39;4,139;10,117
93;CO;9;C;1;b;Fzo;7,747;7,07;3,093;7,504
94;CO;9;A;2;b;Ara;13,325;13,281;5,205;12,906
95;CO;9;B;2;b;Rip;14,921;14,883;6,043;14,455
96;CO;9;C;2;b;Fzo;11,891;11,85;4,865;11,553
97;CO;9;A;3;b;Ara;14,855;14,789;5,841;14,401
98;CO;9;B;3;b;Rip;10,935;10,896;4,341;10,607
99;CO;9;C;3;b;Fzo;8,79;8,759;3,354;8,514
100;CO;10;A;1;b;Ara;11,774;11,729;4,596;11,442
101;CO;10;B;1;b;Rip;8,53;8,503;3,208;8,265
102;CO;10;C;1;b;Fzo;9,841;9,807;3,851;9,533
103;CO;10;A;2;b;Ara;12,505;12,463;4,953;12,109
104;CO;10;B;2;b;Rip;10,994;10,957;4,221;10,643
105;CO;10;C;2;b;Fzo;12,274;12,242;4,849;11,949
106;CO;10;A;3;b;Ara;10,377;10,34;3,86;10,09
107;CO;10;B;3;b;Rip;8,925;8,891;3,328;8,667
108;CO;10;C;3;b;Fzo;10,033;9,994;4,063;9,743
