"APPEZZAMENTO";"PARCELLA";"LAVORAZIONE";"REPLICA";"RIGA";"COLONNA";"mPaSUM";"TRT"
"1";3;"Ara";"a";"3";"3";93,32;"BV"
"3";3;"Ara";"a";"3";"3";125,88;"BV"
"9";3;"Ara";"a";"3";"3";83,24;"CO"
"10";3;"Ara";"a";"3";"3";140,88;"CO"
"1";3;"Ara";"b";"3";"3";110,5;"BV"
"3";3;"Ara";"b";"3";"3";109,1;"BV"
"9";3;"Ara";"b";"3";"3";110,08;"CO"
"10";3;"Ara";"b";"3";"3";91,12;"CO"
"1";3;"Ara";"c";"3";"3";81,35;"BV"
"3";3;"Ara";"c";"3";"3";90,15;"BV"
"9";3;"Ara";"c";"3";"3";90,12;"CO"
"10";3;"Ara";"c";"3";"3";137,92;"CO"
