"X";"Y"
0;0
12;0
24;0
36;0
0;35
12;35
24;35
36;35
0;43
12;43
24;43
36;43
0;78
12;78
24;78
36;78
0;86
12;86
24;86
36;86
0;121
12;121
24;121
36;121
