Instrument type : Porosimeter 2000							
Sample name : O04C2m							
Filename : C:\POROSDIR\Pascal_2012\SIMONE_TESI\Combi_Simone\O04c2m_comb.Por							
Software version : 1.03B-3							
Date : 21/06/17							
* * * Sample information	* * *						
Company Name : 	Fisons Instruments SpA						
Operator : 	AB						
Date : 	13/03/2017						
Sample name : 	O04C2m						
Preparation : 	secco all'aria						
Sample mass (g) : 	1.097						
Sample density (g) : 	1.3						
Mercury height (mm) : 	61.387						
Vol. at run (mm3) : 	236						
Weight dilatometer+mercury+sample (g) : 	256.25						
Weight dil.+mercury+sample correct(g) : 	0						
Capillary mercury height (mm) : 	33.387						
Bulk D.calc. at 250 (kPa)-->Vol.(mm3): 	33.3816						
							
* * * Acquisition parameters	* * *						
Max pressure : 	2000						
Pump speed increase : 	2						
Pump speed decrease : 	1						
Pump speed inc. compensation : 	Pascal						
Pump speed dec. compensation : 	Pascal						
Dilatometer number : 	1						
Dilatometer type : 	Normal						
							
* * * Calculation parameters	* * *						
Conctact angle (Deg) : 	141.3						
Hg surface tension (Dyne/cm) : 	480						
Hg density (g/cm3) : 	13.5438						
Temperature Hg (°C): 	21						
Pores model : 	Cylindrical						
Sample volume correction : 	Yes						
Region start : 	0						
Region stop : 	10000000						
Region number of intervals : 	50						
Pores average mode : 	Range						
Particle size distribution : 	No						
Kp factor : 	11.7003						
Cut off radius : 	.001-10						
							
* * * Blank parameters	* * *						
Blank data file path : 	C:\POROSDIR\Pascal_2012\SIMONE_TESI\Poros_2000\Dil8new.por						
Blank name instrument : 	Porosimeter 2000						
Num. of blank data points increase : 	293						
Num. of blank data points decrease : 	103						
Filling volume (mm3) : 	459 (from blank file)						
Weight dilatometer (g) : 	43.759 (from blank file)						
Weight dilatometer+Hg (g) : 	263.03 (from blank file)						
Capillary radius (mm) : 	1.5 (from blank file)						
Dilatometer cone height (mm) : 	28 (from blank file)						
Hg density blank (g/cm3) : 	13.5438 (from blank file)						
Temperature Hg (°C): 	21						
							
							
R E S U L T S							
Total cumulative volume (mm3/g) : 	213.1266937						
Total specific surface area (m²/g) : 	4.837999821						
Average pore radius (Micron) : 	0.3405059874						
Total  porosity (%) : 	40.19979858						
Bulk density  (g/cm3) : 	1.886190057						
Bulk density (g/cm3) at 250 (kPa) : 	2.001049995						
Apparent density (g/cm3) : 	3.154160023						
Cut-Off radius range (Micron) :  : -------	.001-10						
Total pore volume (mm3/g) : 	0						
Pore specific surface area (m²/g) : 	0						
Cumulative volume [Cut-Off] (mm3/g) : 	213.1266937						
							
P O R E   S I Z E   D I S T R I B U T I O N (custom ranges)							
Pore radius ranges	Specific Volume	Relative Volume	Relative Volume				
(µM)	(mm3/g)	(mm3/g)	(%)				
10000-1000	0.000	0.000	0.000				
1000-100	0.000	0.000	0.000				
100-10	20.690	20.690	9.710				
10-1	60.980	40.290	18.910				
1-.1	167.730	106.750	50.090				
.1-.01	207.110	39.380	18.480				
.01-.001	213.130	6.020	2.820				
							
P A R T I C L E   S I Z E   D I S T R I B U T I O N							
Particle diameter range	Cum. Distr. Vol.	Rel. Distr. Vol.	Cumulative Area				
(µM)	(%)	(%)	(m²/g)				
15-10	9.280	9.280	0.036				
10-8	15.250	5.970	0.066				
8-5	30.270	15.020	0.177				
5-3.5	39.510	9.240	0.279				
3.5-2.5	47.560	8.050	0.402				
2.5-1.85	53.580	6.020	0.529				
1.85-1.5	56.990	3.410	0.623				
1.5-1.2	60.110	3.130	0.729				
1.2-1.05	61.820	1.710	0.797				
1.05-.9	63.810	1.990	0.890				
.9-.75	65.890	2.080	1.006				
.75-.6	68.360	2.460	1.172				
.6-.5	70.350	1.990	1.336				
.5-.35	73.850	3.510	1.717				
.35-.25	75.560	1.710	1.971				
.25-.2	77.210	1.660	2.313				
.2-.15	78.540	1.330	2.635				
.15-.1	83.660	5.120	4.646				
.1-.08	83.990	0.330	4.807				
.08-.05	83.990	0.000	4.807				
.05-.02	83.990	0.000	4.807				
.02-.01	83.990	0.000	4.807				
.01-0	83.990	0.000	4.807				
							
D A T A   R E P O R T							
Pressure	Volume	Radius	Spec.Vol.	Rel.Vol.			
(MPa)	(mm3)	(µm)	(mm3/g)	(mm3/g)			
0.009	0.200	83.853	0.180	0.180			
0.009	0.300	82.035	0.270	0.090			
0.009	0.400	79.442	0.360	0.090			
0.010	0.500	77.008	0.460	0.090			
0.010	0.600	75.471	0.550	0.090			
0.010	0.700	73.271	0.640	0.090			
0.011	0.900	70.539	0.820	0.180			
0.011	1.000	68.613	0.910	0.090			
0.011	1.100	67.390	1.000	0.090			
0.012	1.200	64.501	1.090	0.090			
0.012	1.300	63.419	1.190	0.090			
0.012	1.400	62.374	1.280	0.090			
0.012	1.500	61.362	1.370	0.090			
0.013	1.600	59.899	1.460	0.090			
0.013	1.700	59.433	1.550	0.090			
0.013	1.800	58.974	1.640	0.090			
0.013	1.900	57.183	1.730	0.090			
0.013	2.000	55.911	1.820	0.090			
0.014	2.100	55.096	1.910	0.090			
0.014	2.200	54.305	2.010	0.090			
0.014	2.300	53.157	2.100	0.090			
0.014	2.400	52.420	2.190	0.090			
0.014	2.500	52.063	2.280	0.090			
0.015	2.600	51.006	2.370	0.090			
0.015	2.800	50.334	2.550	0.180			
0.015	2.900	50.005	2.640	0.090			
0.015	3.000	49.679	2.730	0.090			
0.015	3.100	48.717	2.830	0.090			
0.016	3.200	47.487	2.920	0.090			
0.016	3.300	46.607	3.010	0.090			
0.016	3.400	46.040	3.100	0.090			
0.017	3.500	45.211	3.190	0.090			
0.017	3.600	44.413	3.280	0.090			
0.017	3.700	43.641	3.370	0.090			
0.017	3.800	43.144	3.460	0.090			
0.018	3.900	42.657	3.560	0.090			
0.018	4.000	42.181	3.650	0.090			
0.018	4.200	41.490	3.830	0.180			
0.019	4.300	40.376	3.920	0.090			
0.019	4.400	39.949	4.010	0.090			
0.019	4.500	39.742	4.100	0.090			
0.019	4.600	39.536	4.190	0.090			
0.019	4.700	38.924	4.280	0.090			
0.019	4.800	38.527	4.380	0.090			
0.020	5.000	38.142	4.560	0.180			
0.020	5.100	37.762	4.650	0.090			
0.020	5.200	37.576	4.740	0.090			
0.020	5.300	37.392	4.830	0.090			
0.020	5.400	37.210	4.920	0.090			
0.020	5.600	36.670	5.100	0.180			
0.021	5.700	36.318	5.200	0.090			
0.021	5.800	35.801	5.290	0.090			
0.022	5.900	34.806	5.380	0.090			
0.022	6.000	34.489	5.470	0.090			
0.022	6.200	34.337	5.650	0.180			
0.022	6.300	34.183	5.740	0.090			
0.023	6.400	33.275	5.830	0.090			
0.023	6.500	32.697	5.930	0.090			
0.023	6.600	32.002	6.020	0.090			
0.023	6.700	31.868	6.110	0.090			
0.024	6.800	31.602	6.200	0.090			
0.024	6.900	30.952	6.290	0.090			
0.024	7.000	30.575	6.380	0.090			
0.025	7.100	30.208	6.470	0.090			
0.025	7.200	29.968	6.560	0.090			
0.025	7.300	29.615	6.650	0.090			
0.025	7.400	29.385	6.750	0.090			
0.026	7.500	29.273	6.840	0.090			
0.026	7.600	29.161	6.930	0.090			
0.026	7.800	28.940	7.110	0.180			
0.026	7.900	28.831	7.200	0.090			
0.026	8.000	28.396	7.290	0.090			
0.027	8.100	28.184	7.380	0.090			
0.027	8.200	27.768	7.470	0.090			
0.027	8.300	27.465	7.570	0.090			
0.027	8.400	27.267	7.660	0.090			
0.028	8.500	26.686	7.750	0.090			
0.028	8.600	26.593	7.840	0.090			
0.029	9.000	26.320	8.200	0.360			
0.029	9.400	26.235	8.570	0.360			
0.029	9.600	26.056	8.750	0.180			
0.029	9.700	25.789	8.840	0.090			
0.029	9.800	25.527	8.930	0.090			
0.030	9.900	25.101	9.020	0.090			
0.030	10.000	24.935	9.120	0.090			
0.030	10.100	24.772	9.210	0.090			
0.031	10.200	24.530	9.300	0.090			
0.031	10.300	24.372	9.390	0.090			
0.031	10.400	24.138	9.480	0.090			
0.031	10.900	24.068	9.940	0.460			
0.031	11.000	23.916	10.030	0.090			
0.032	11.100	23.690	10.120	0.090			
0.032	11.200	23.543	10.210	0.090			
0.032	11.400	23.253	10.390	0.180			
0.032	11.500	23.183	10.480	0.090			
0.033	11.600	22.901	10.570	0.090			
0.033	11.700	22.557	10.670	0.090			
0.034	11.800	22.357	10.760	0.090			
0.034	11.900	22.225	10.850	0.090			
0.034	12.100	22.097	11.030	0.180			
0.035	12.300	21.652	11.210	0.180			
0.035	12.500	21.592	11.390	0.180			
0.035	12.600	21.470	11.490	0.090			
0.035	12.700	21.168	11.580	0.090			
0.036	12.800	20.758	11.670	0.090			
0.036	12.900	20.645	11.760	0.090			
0.036	13.100	20.590	11.940	0.180			
0.037	13.200	20.203	12.030	0.090			
0.038	13.300	19.935	12.120	0.090			
0.038	13.400	19.726	12.220	0.090			
0.038	13.500	19.521	12.310	0.090			
0.039	13.600	19.371	12.400	0.090			
0.039	13.700	19.272	12.490	0.090			
0.039	13.800	19.175	12.580	0.090			
0.039	14.100	19.080	12.850	0.270			
0.040	14.200	18.888	12.940	0.090			
0.040	14.300	18.654	13.040	0.090			
0.041	14.400	18.517	13.130	0.090			
0.041	14.500	18.291	13.220	0.090			
0.041	14.800	18.205	13.490	0.270			
0.041	15.000	18.163	13.670	0.180			
0.042	15.100	17.946	13.760	0.090			
0.042	15.200	17.819	13.860	0.090			
0.043	15.300	17.610	13.950	0.090			
0.043	15.400	17.529	14.040	0.090			
0.043	15.500	17.367	14.130	0.090			
0.043	15.600	17.287	14.220	0.090			
0.044	15.700	17.169	14.310	0.090			
0.045	15.800	16.785	14.400	0.090			
0.045	15.900	16.637	14.490	0.090			
0.045	16.000	16.491	14.590	0.090			
0.046	16.100	16.277	14.680	0.090			
0.047	16.300	16.034	14.860	0.180			
0.047	16.500	15.933	15.040	0.180			
0.047	16.800	15.902	15.310	0.270			
0.047	16.900	15.869	15.410	0.090			
0.048	17.000	15.670	15.500	0.090			
0.048	17.100	15.541	15.590	0.090			
0.049	17.200	15.350	15.680	0.090			
0.049	17.300	15.226	15.770	0.090			
0.049	17.500	15.135	15.950	0.180			
0.051	17.700	14.807	16.130	0.180			
0.051	17.800	14.778	16.230	0.090			
0.051	17.900	14.692	16.320	0.090			
0.052	18.000	14.522	16.410	0.090			
0.052	18.100	14.466	16.500	0.090			
0.052	18.300	14.439	16.680	0.180			
0.052	18.400	14.275	16.770	0.090			
0.053	18.500	14.141	16.860	0.090			
0.054	18.600	14.009	16.960	0.090			
0.054	18.700	13.828	17.050	0.090			
0.055	18.800	13.702	17.140	0.090			
0.055	18.900	13.603	17.230	0.090			
0.056	19.000	13.482	17.320	0.090			
0.056	19.100	13.434	17.410	0.090			
0.057	19.200	13.244	17.500	0.090			
0.057	19.300	13.129	17.590	0.090			
0.058	19.400	13.015	17.680	0.090			
0.058	19.500	12.837	17.780	0.090			
0.058	19.600	12.815	17.870	0.090			
0.060	19.800	12.580	18.050	0.180			
0.060	19.900	12.559	18.140	0.090			
0.060	20.000	12.496	18.230	0.090			
0.061	20.100	12.373	18.320	0.090			
0.061	20.200	12.232	18.410	0.090			
0.062	20.300	12.017	18.510	0.090			
0.063	20.400	11.979	18.600	0.090			
0.063	20.600	11.922	18.780	0.180			
0.064	20.700	11.791	18.870	0.090			
0.064	20.800	11.699	18.960	0.090			
0.065	20.900	11.573	19.050	0.090			
0.065	21.000	11.502	19.140	0.090			
0.066	21.100	11.398	19.230	0.090			
0.066	21.200	11.346	19.330	0.090			
0.066	21.300	11.330	19.420	0.090			
0.067	21.400	11.245	19.510	0.090			
0.067	21.500	11.212	19.600	0.090			
0.068	21.600	11.030	19.690	0.090			
0.068	21.700	10.998	19.780	0.090			
0.069	21.800	10.902	19.870	0.090			
0.069	21.900	10.808	19.960	0.090			
0.070	22.000	10.716	20.050	0.090			
0.071	22.100	10.580	20.150	0.090			
0.072	22.200	10.404	20.240	0.090			
0.073	22.300	10.318	20.330	0.090			
0.073	22.400	10.220	20.420	0.090			
0.074	22.500	10.137	20.510	0.090			
0.075	22.600	10.029	20.600	0.090			
0.075	22.700	10.003	20.690	0.090			
0.075	22.800	9.976	20.780	0.090			
0.076	22.900	9.897	20.880	0.090			
0.077	23.100	9.756	21.060	0.180			
0.077	23.200	9.681	21.150	0.090			
0.078	23.300	9.557	21.240	0.090			
0.079	23.400	9.461	21.330	0.090			
0.080	23.500	9.367	21.420	0.090			
0.081	23.600	9.297	21.510	0.090			
0.081	23.700	9.286	21.600	0.090			
0.082	23.800	9.172	21.700	0.090			
0.083	23.900	9.051	21.790	0.090			
0.083	24.000	8.975	21.880	0.090			
0.084	24.100	8.880	21.970	0.090			
0.085	24.200	8.786	22.060	0.090			
0.086	24.300	8.715	22.150	0.090			
0.086	24.400	8.664	22.240	0.090			
0.089	24.500	8.402	22.330	0.090			
0.090	24.600	8.291	22.420	0.090			
0.092	24.700	8.174	22.520	0.090			
0.093	24.800	8.085	22.610	0.090			
0.095	24.900	7.898	22.700	0.090			
0.096	25.000	7.791	22.790	0.090			
0.097	25.100	7.711	22.880	0.090			
0.099	25.200	7.587	22.970	0.090			
0.100	25.300	7.511	23.060	0.090			
0.101	25.400	7.459	23.150	0.090			
0.102	25.500	7.327	23.250	0.090			
0.104	25.600	7.229	23.340	0.090			
0.105	25.700	7.126	23.430	0.090			
0.106	25.800	7.072	23.520	0.090			
0.107	25.900	6.986	23.610	0.090			
0.108	26.000	6.928	23.700	0.090			
0.110	26.100	6.834	23.790	0.090			
0.111	26.200	6.766	23.880	0.090			
0.112	26.300	6.676	23.970	0.090			
0.114	26.400	6.588	24.070	0.090			
0.116	26.500	6.479	24.160	0.090			
0.119	26.500	6.279	24.160	0.000			
0.121	26.600	6.206	24.250	0.090			
0.122	26.700	6.150	24.340	0.090			
0.123	26.800	6.075	24.430	0.090			
0.124	26.900	6.031	24.520	0.090			
0.127	27.000	5.894	24.610	0.090			
0.128	27.200	5.853	24.790	0.180			
0.130	27.300	5.758	24.890	0.090			
0.132	27.400	5.671	24.980	0.090			
0.133	27.500	5.616	25.070	0.090			
0.135	27.600	5.545	25.160	0.090			
0.137	27.700	5.473	25.250	0.090			
0.140	27.700	5.348	25.250	0.000			
0.142	27.800	5.269	25.340	0.090			
0.143	27.900	5.247	25.430	0.090			
0.144	28.000	5.207	25.520	0.090			
0.146	28.100	5.146	25.620	0.090			
0.148	28.200	5.063	25.710	0.090			
0.150	28.300	4.995	25.800	0.090			
0.152	28.400	4.936	25.890	0.090			
0.154	28.500	4.865	25.980	0.090			
0.157	28.600	4.776	26.070	0.090			
0.158	28.600	4.742	26.070	0.000			
0.161	28.700	4.666	26.160	0.090			
0.162	28.800	4.623	26.250	0.090			
0.164	28.900	4.569	26.340	0.090			
0.167	29.100	4.487	26.530	0.180			
0.168	29.200	4.463	26.620	0.090			
0.169	29.400	4.439	26.800	0.180			
0.169	29.600	4.424	26.980	0.180			
0.172	29.700	4.349	27.070	0.090			
0.174	29.800	4.317	27.160	0.090			
0.176	29.900	4.260	27.260	0.090			
0.180	30.000	4.173	27.350	0.090			
0.181	30.100	4.145	27.440	0.090			
0.182	30.200	4.120	27.530	0.090			
0.184	30.300	4.080	27.620	0.090			
0.186	30.400	4.021	27.710	0.090			
0.190	30.500	3.948	27.800	0.090			
0.192	30.600	3.905	27.890	0.090			
0.193	30.700	3.883	27.990	0.090			
0.196	30.800	3.831	28.080	0.090			
0.199	30.900	3.768	28.170	0.090			
0.202	31.000	3.712	28.260	0.090			
0.204	31.100	3.670	28.350	0.090			
0.205	31.200	3.663	28.440	0.090			
0.207	31.300	3.614	28.530	0.090			
0.210	31.400	3.560	28.620	0.090			
0.211	31.500	3.545	28.710	0.090			
0.214	31.600	3.494	28.810	0.090			
0.216	31.700	3.468	28.900	0.090			
0.218	31.800	3.435	28.990	0.090			
0.222	31.900	3.367	29.080	0.090			
0.225	32.000	3.330	29.170	0.090			
0.226	32.100	3.312	29.260	0.090			
0.227	32.500	3.296	29.630	0.360			
0.228	32.500	3.280	29.630	0.000			
0.230	32.600	3.256	29.720	0.090			
0.234	32.700	3.203	29.810	0.090			
0.235	32.800	3.185	29.900	0.090			
0.237	32.900	3.163	29.990	0.090			
0.240	33.000	3.128	30.080	0.090			
0.242	33.100	3.095	30.170	0.090			
0.244	33.200	3.066	30.260	0.090			
0.247	33.300	3.040	30.360	0.090			
0.251	33.400	2.987	30.450	0.090			
0.252	33.500	2.971	30.540	0.090			
0.253	33.600	2.959	30.630	0.090			
0.256	33.700	2.929	30.720	0.090			
