Instrument type : Porosimeter 2000							
0.014	12.000	53.106	10.800	0.180			
0.014	12.400	52.761	11.160	0.360			
0.014	12.600	52.406	11.340	0.180			
0.014	12.900	51.703	11.610	0.270			
0.015	13.200	51.369	11.880	0.270			
0.015	13.500	51.039	12.150	0.270			
0.015	13.700	50.366	12.330	0.180			
0.015	13.900	50.043	12.510	0.180			
0.015	14.000	49.717	12.600	0.090			
0.015	14.200	49.402	12.780	0.180			
0.015	14.400	49.091	12.960	0.180			
0.015	14.500	48.777	13.050	0.090			
0.015	14.600	48.468	13.140	0.090			
0.016	14.700	48.162	13.230	0.090			
0.016	14.800	47.861	13.320	0.090			
0.016	15.000	47.568	13.500	0.180			
0.016	15.300	47.285	13.770	0.270			
0.016	15.600	47.006	14.040	0.270			
0.016	15.800	46.434	14.220	0.180			
0.016	16.000	46.159	14.400	0.180			
0.016	16.300	45.893	14.670	0.270			
0.016	16.400	45.619	14.760	0.090			
0.016	16.700	45.359	15.030	0.270			
0.017	17.100	45.107	15.390	0.360			
0.017	17.600	44.862	15.840	0.450			
0.017	17.900	44.611	16.110	0.270			
0.017	18.000	44.352	16.200	0.090			
0.017	18.100	44.096	16.290	0.090			
0.017	18.300	43.847	16.470	0.180			
0.017	18.400	43.597	16.560	0.090			
0.017	18.600	43.355	16.740	0.180			
0.017	18.900	43.120	17.010	0.270			
0.018	19.000	42.877	17.100	0.090			
0.018	19.100	42.638	17.190	0.090			
0.018	19.500	42.415	17.550	0.360			
0.018	19.700	42.186	17.730	0.180			
0.018	19.800	41.954	17.820	0.090			
0.018	20.500	41.520	18.450	0.630			
0.018	20.800	41.305	18.720	0.270			
0.018	21.000	41.087	18.900	0.180			
0.018	21.200	40.871	19.080	0.180			
0.019	21.300	40.434	19.170	0.090			
0.019	21.600	40.230	19.440	0.270			
0.019	21.900	40.027	19.710	0.270			
0.019	22.100	39.823	19.890	0.180			
0.019	22.300	39.620	20.070	0.180			
0.019	22.500	39.420	20.250	0.180			
0.019	22.700	39.221	20.430	0.180			
0.019	22.900	38.823	20.610	0.180			
0.019	23.000	38.626	20.700	0.090			
0.020	23.200	38.436	20.880	0.180			
0.020	23.700	38.258	21.330	0.450			
0.020	23.900	37.879	21.510	0.180			
0.020	24.100	37.696	21.690	0.180			
0.020	24.400	37.518	21.960	0.270			
0.020	24.700	37.156	22.230	0.270			
0.020	25.200	36.809	22.680	0.450			
