Instrument type : Porosimeter 2000							
0.019	12.400	39.005	11.240	0.450			
0.019	12.600	38.811	11.420	0.180			
0.019	12.800	38.619	11.600	0.180			
0.020	13.000	38.428	11.790	0.180			
0.020	13.100	38.042	11.880	0.090			
0.020	13.200	37.663	11.970	0.090			
0.020	13.300	37.292	12.060	0.090			
0.020	13.400	36.928	12.150	0.090			
0.021	13.500	36.217	12.240	0.090			
0.021	13.600	36.046	12.330	0.090			
0.021	13.700	35.877	12.420	0.090			
0.021	13.800	35.709	12.510	0.090			
0.021	13.900	35.375	12.600	0.090			
0.021	14.100	35.215	12.780	0.180			
0.022	14.200	34.890	12.870	0.090			
0.022	14.300	34.572	12.960	0.090			
0.022	14.500	34.261	13.150	0.180			
0.022	14.600	34.108	13.240	0.090			
0.022	14.700	33.957	13.330	0.090			
0.022	14.900	33.658	13.510	0.180			
0.022	15.000	33.510	13.600	0.090			
0.023	15.200	33.219	13.780	0.180			
0.023	15.300	32.929	13.870	0.090			
0.023	15.500	32.791	14.050	0.180			
0.023	15.600	32.651	14.140	0.090			
0.023	15.700	32.371	14.230	0.090			
0.023	15.900	32.237	14.420	0.180			
0.023	16.000	31.965	14.510	0.090			
0.023	16.200	31.834	14.690	0.180			
0.024	16.300	31.569	14.780	0.090			
0.024	16.400	31.439	14.870	0.090			
0.024	16.600	31.182	15.050	0.180			
0.024	16.800	30.929	15.230	0.180			
0.024	17.100	30.683	15.500	0.270			
0.025	17.200	30.436	15.590	0.090			
0.025	17.400	30.318	15.780	0.180			
0.025	17.600	30.079	15.960	0.180			
0.025	17.700	29.961	16.050	0.090			
0.025	17.800	29.844	16.140	0.090			
0.025	18.000	29.496	16.320	0.180			
0.026	18.100	29.268	16.410	0.090			
0.026	18.200	29.043	16.500	0.090			
0.026	18.400	28.935	16.680	0.180			
0.026	18.500	28.606	16.770	0.090			
0.026	18.600	28.284	16.860	0.090			
0.027	18.700	28.180	16.950	0.090			
0.027	18.800	28.076	17.040	0.090			
0.027	18.900	27.974	17.140	0.090			
0.027	19.000	27.768	17.230	0.090			
0.027	19.100	27.465	17.320	0.090			
0.027	19.300	27.269	17.500	0.180			
0.028	19.400	27.172	17.590	0.090			
0.028	19.500	27.075	17.680	0.090			
0.028	19.600	26.980	17.770	0.090			
0.028	19.700	26.789	17.860	0.090			
0.028	19.800	26.695	17.950	0.090			
0.028	19.900	26.508	18.040	0.090			
0.028	20.100	26.418	18.220	0.180			
0.029	20.400	26.331	18.500	0.270			
0.029	20.500	26.149	18.590	0.090			
0.029	20.600	25.969	18.680	0.090			
0.029	20.700	25.881	18.770	0.090			
0.029	20.800	25.794	18.860	0.090			
0.029	20.900	25.619	18.950	0.090			
0.030	21.000	25.360	19.040	0.090			
0.030	21.100	25.107	19.130	0.090			
0.030	21.300	25.027	19.310	0.180			
0.030	21.400	24.698	19.400	0.090			
0.031	21.500	24.538	19.490	0.090			
0.031	21.600	24.301	19.580	0.090			
0.031	21.700	24.068	19.670	0.090			
0.031	21.800	23.916	19.760	0.090			
0.032	21.900	23.765	19.850	0.090			
0.032	22.000	23.543	19.950	0.090			
0.032	22.100	23.397	20.040	0.090			
0.032	22.200	23.326	20.130	0.090			
0.032	22.300	23.183	20.220	0.090			
0.032	22.400	23.113	20.310	0.090			
0.033	22.500	22.832	20.400	0.090			
0.033	22.600	22.627	20.490	0.090			
0.033	22.700	22.425	20.580	0.090			
0.034	22.800	22.227	20.670	0.090			
0.034	22.900	22.162	20.760	0.090			
0.034	23.000	22.098	20.850	0.090			
0.034	23.100	21.970	20.940	0.090			
0.034	23.200	21.843	21.030	0.090			
0.034	23.400	21.719	21.210	0.180			
0.035	23.500	21.471	21.310	0.090			
0.035	23.600	21.289	21.400	0.090			
0.035	23.700	21.170	21.490	0.090			
0.036	23.800	20.993	21.580	0.090			
0.036	23.900	20.935	21.670	0.090			
0.036	24.000	20.591	21.760	0.090			
0.036	24.200	20.537	21.940	0.180			
0.037	24.300	20.482	22.030	0.090			
0.037	24.600	20.429	22.300	0.270			
0.037	24.800	20.376	22.480	0.180			
0.037	25.000	20.323	22.670	0.180			
0.037	25.300	20.271	22.940	0.270			
0.037	25.400	20.217	23.030	0.090			
0.037	25.500	20.164	23.120	0.090			
0.038	25.600	19.792	23.210	0.090			
0.038	25.700	19.586	23.300	0.090			
0.038	25.800	19.485	23.390	0.090			
0.039	25.900	19.286	23.480	0.090			
0.039	26.000	19.188	23.570	0.090			
0.039	26.100	18.994	23.660	0.090			
0.040	26.200	18.852	23.750	0.090			
0.040	26.300	18.711	23.840	0.090			
0.040	26.400	18.666	23.930	0.090			
0.040	26.500	18.574	24.030	0.090			
0.041	26.600	18.483	24.120	0.090			
0.041	26.700	18.348	24.210	0.090			
0.041	26.800	18.171	24.300	0.090			
0.042	26.900	17.997	24.390	0.090			
0.042	27.000	17.785	24.480	0.090			
0.042	27.100	17.660	24.570	0.090			
0.043	27.200	17.536	24.660	0.090			
0.043	27.300	17.334	24.750	0.090			
0.043	27.600	17.297	25.020	0.270			
0.043	27.700	17.258	25.110	0.090			
0.043	27.800	17.219	25.200	0.090			
0.044	27.900	17.180	25.290	0.090			
0.044	28.000	17.102	25.390	0.090			
0.045	28.100	16.834	25.480	0.090			
0.045	28.200	16.685	25.570	0.090			
0.045	28.300	16.575	25.660	0.090			
0.045	28.400	16.502	25.750	0.090			
0.046	28.500	16.395	25.840	0.090			
0.046	28.600	16.289	25.930	0.090			
0.046	28.700	16.254	26.020	0.090			
0.046	28.800	16.149	26.110	0.090			
0.047	28.900	16.046	26.200	0.090			
0.047	29.000	15.945	26.290	0.090			
0.047	29.100	15.878	26.380	0.090			
0.048	29.200	15.646	26.470	0.090			
0.048	29.300	15.582	26.560	0.090			
0.049	29.400	15.422	26.650	0.090			
0.049	29.500	15.328	26.750	0.090			
0.049	29.600	15.235	26.840	0.090			
0.050	29.700	15.113	26.930	0.090			
0.051	29.800	14.814	27.020	0.090			
0.051	29.900	14.670	27.110	0.090			
0.051	30.000	14.642	27.200	0.090			
0.051	30.100	14.585	27.290	0.090			
0.052	30.200	14.501	27.380	0.090			
0.052	30.300	14.281	27.470	0.090			
0.053	30.400	14.146	27.560	0.090			
0.053	30.500	14.041	27.650	0.090			
0.054	30.600	13.963	27.740	0.090			
0.054	30.700	13.937	27.830	0.090			
0.055	30.800	13.633	27.920	0.090			
0.056	30.900	13.511	28.010	0.090			
0.056	31.000	13.415	28.110	0.090			
0.056	31.100	13.320	28.200	0.090			
0.057	31.200	13.226	28.290	0.090			
0.058	31.300	13.020	28.380	0.090			
0.058	31.400	12.930	28.470	0.090			
0.058	31.500	12.820	28.560	0.090			
0.059	31.600	12.712	28.650	0.090			
0.059	31.700	12.691	28.740	0.090			
0.059	31.800	12.627	28.830	0.090			
0.060	31.900	12.585	28.920	0.090			
0.060	32.000	12.522	29.010	0.090			
0.061	32.100	12.317	29.100	0.090			
0.061	32.200	12.217	29.190	0.090			
0.062	32.300	12.118	29.280	0.090			
0.062	32.400	12.041	29.370	0.090			
0.063	32.500	11.832	29.470	0.090			
0.064	32.600	11.721	29.560	0.090			
0.064	32.700	11.631	29.650	0.090			
