Instrument type : Porosimeter 2000							
Sample name : O02A2m							
Filename : C:\POROSDIR\Pascal_2012\SIMONE_TESI\Combi_Simone\O02a2m_comb.Por							
Software version : 1.03B-3							
Date : 21/06/17							
* * * Sample information	* * *						
Company Name : 	Fisons Instruments SpA						
Operator : 	AB						
Date : 	08/03/2017						
Sample name : 	O02A2m						
Preparation : 	secco all'aria						
Sample mass (g) : 	.98						
Sample density (g) : 	1.3						
Mercury height (mm) : 	63.509						
Vol. at run (mm3) : 	251						
Weight dilatometer+mercury+sample (g) : 	258.92						
Weight dil.+mercury+sample correct(g) : 	0						
Capillary mercury height (mm) : 	35.509						
Bulk D.calc. at 220 (kPa)-->Vol.(mm3): 	24.5033						
							
* * * Acquisition parameters	* * *						
Max pressure : 	2000						
Pump speed increase : 	2						
Pump speed decrease : 	1						
Pump speed inc. compensation : 	Pascal						
Pump speed dec. compensation : 	Pascal						
Dilatometer number : 	1						
Dilatometer type : 	Normal						
							
* * * Calculation parameters	* * *						
Conctact angle (Deg) : 	141.3						
Hg surface tension (Dyne/cm) : 	480						
Hg density (g/cm3) : 	13.5438						
Temperature Hg (°C): 	21						
Pores model : 	Cylindrical						
Sample volume correction : 	Yes						
Region start : 	0						
Region stop : 	10000000						
Region number of intervals : 	50						
Pores average mode : 	Range						
Particle size distribution : 	No						
Kp factor : 	11.7003						
Cut off radius : 	.001-10						
							
* * * Blank parameters	* * *						
Blank data file path : 	C:\POROSDIR\Pascal_2012\SIMONE_TESI\Poros_2000\Dil5new.por						
Blank name instrument : 	Porosimeter 2000						
Num. of blank data points increase : 	401						
Num. of blank data points decrease : 	177						
Filling volume (mm3) : 	474 (from blank file)						
Weight dilatometer (g) : 	44.57 (from blank file)						
Weight dilatometer+Hg (g) : 	264.43 (from blank file)						
Capillary radius (mm) : 	1.5 (from blank file)						
Dilatometer cone height (mm) : 	28 (from blank file)						
Hg density blank (g/cm3) : 	13.5438 (from blank file)						
Temperature Hg (°C): 	21						
							
							
R E S U L T S							
Total cumulative volume (mm3/g) : 	161.2245026						
Total specific surface area (m²/g) : 	2.641000032						
Average pore radius (Micron) : 	0.2268459946						
Total  porosity (%) : 	32.97269821						
Bulk density  (g/cm3) : 	2.045140028						
Bulk density (g/cm3) at 220 (kPa) : 	2.155359983						
Apparent density (g/cm3) : 	3.051209927						
Sample volume correction : 	0.9704812765						
							
P O R E   S I Z E   D I S T R I B U T I O N (custom ranges)							
Pore radius ranges	Specific Volume	Relative Volume	Relative Volume				
(µM)	(mm3/g)	(mm3/g)	(%)				
10000-1000	0.000	0.000	0.000				
1000-100	0.000	0.000	0.000				
100-10	16.630	16.630	10.320				
10-1	33.470	16.840	10.440				
1-.1	123.980	90.510	56.140				
.1-.01	161.220	37.240	23.100				
.01-.001	161.220	0.000	0.000				
							
P A R T I C L E   S I Z E   D I S T R I B U T I O N							
Particle diameter range	Cum. Distr. Vol.	Rel. Distr. Vol.	Cumulative Area				
(µM)	(%)	(%)	(m²/g)				
15-10	3.950	3.950	0.012				
10-8	6.700	2.750	0.022				
8-5	15.240	8.540	0.070				
5-3.5	26.320	11.080	0.163				
3.5-2.5	38.460	12.140	0.304				
2.5-1.85	49.890	11.430	0.484				
1.85-1.5	57.370	7.480	0.637				
1.5-1.2	63.940	6.560	0.804				
1.2-1.05	67.330	3.390	0.907				
1.05-.9	70.850	3.530	1.031				
.9-.75	74.450	3.600	1.180				
.75-.6	78.480	4.020	1.384				
.6-.5	81.160	2.680	1.549				
.5-.35	84.470	3.320	1.809				
.35-.25	87.160	2.680	2.130				
.25-.2	90.050	2.890	2.568				
.2-.15	90.400	0.350	2.630				
.15-.1	90.400	0.000	2.630				
.1-.08	90.400	0.000	2.630				
.08-.05	90.400	0.000	2.630				
.05-.02	90.400	0.000	2.630				
.02-.01	90.400	0.000	2.630				
.01-0	90.400	0.000	2.630				
							
D A T A   R E P O R T							
Pressure	Volume	Radius	Spec.Vol.	Rel.Vol.			
(MPa)	(mm3)	(µm)	(mm3/g)	(mm3/g)			
0.009	0.000	82.997	0.000	0.000			
0.009	0.100	81.215	0.100	0.100			
0.010	0.200	77.855	0.200	0.100			
0.010	1.000	77.176	1.020	0.820			
0.010	1.700	76.495	1.730	0.710			
0.010	1.800	73.507	1.840	0.100			
0.010	1.900	72.806	1.940	0.100			
0.010	2.000	72.119	2.040	0.100			
0.011	2.100	70.770	2.140	0.100			
0.011	2.200	69.470	2.240	0.100			
0.011	2.300	68.844	2.350	0.100			
0.011	2.400	67.613	2.450	0.100			
0.011	2.500	67.020	2.550	0.100			
0.011	2.600	65.853	2.650	0.100			
0.012	2.700	64.726	2.760	0.100			
0.012	2.800	64.182	2.860	0.100			
0.012	2.900	63.648	2.960	0.100			
0.012	3.000	62.594	3.060	0.100			
0.012	3.100	61.575	3.160	0.100			
0.012	3.200	61.083	3.270	0.100			
0.013	3.300	60.112	3.370	0.100			
0.013	3.400	59.643	3.470	0.100			
0.013	3.500	58.717	3.570	0.100			
0.013	3.700	58.278	3.780	0.200			
0.013	3.800	57.837	3.880	0.100			
0.013	3.900	57.402	3.980	0.100			
0.014	4.000	55.703	4.080	0.100			
0.014	4.200	54.902	4.290	0.200			
0.014	4.300	54.511	4.390	0.100			
0.014	4.400	54.124	4.490	0.100			
0.014	4.500	53.744	4.590	0.100			
0.014	4.700	52.998	4.800	0.200			
0.014	4.800	52.633	4.900	0.100			
0.014	4.900	52.273	5.000	0.100			
0.014	5.000	51.560	5.100	0.100			
0.015	5.200	50.873	5.310	0.200			
0.015	5.300	50.537	5.410	0.100			
0.015	5.400	49.870	5.510	0.100			
0.015	5.500	48.583	5.610	0.100			
0.015	5.700	48.282	5.820	0.200			
0.016	5.800	47.074	5.920	0.100			
0.016	5.900	46.496	6.020	0.100			
0.016	6.000	45.931	6.120	0.100			
0.016	6.100	45.380	6.220	0.100			
0.017	6.200	44.842	6.330	0.100			
0.017	6.300	43.799	6.430	0.100			
0.017	6.400	43.549	6.530	0.100			
0.018	6.500	42.807	6.630	0.100			
0.018	6.600	42.328	6.730	0.100			
0.018	6.700	42.095	6.840	0.100			
