Instrument type : Porosimeter 2000							
Sample name : C09C2m_2							
Filename : C:\POROSDIR\Pascal_2012\SIMONE_TESI\Combi_Simone\C09c2m_2_comb.Por							
Software version : 1.03B-3							
Date : 21/06/17							
* * * Sample information	* * *						
Company Name : 	FISONS Instruments						
Operator : 	AB						
Date : 	03-15-2017						
Sample name : 	C09C2m_2						
Preparation : 	secco all'aria						
Sample mass (g) : 	.902						
Sample density (g) : 	1.3						
Mercury height (mm) : 	61.953						
Vol. at run (mm3) : 	240						
Weight dilatometer+mercury+sample (g) : 	239.4						
Weight dil.+mercury+sample correct(g) : 	0						
Capillary mercury height (mm) : 	33.953						
Bulk D.calc. at 250 (kPa)-->Vol.(mm3): 	30.1984						
							
* * * Acquisition parameters	* * *						
Max pressure : 	2000						
Pump speed increase : 	1						
Pump speed decrease : 	1						
Pump speed inc. compensation : 	Pascal						
Pump speed dec. compensation : 	Pascal						
Dilatometer number : 	1						
Dilatometer type : 	Normal						
							
* * * Calculation parameters	* * *						
Conctact angle (Deg) : 	141.3						
Hg surface tension (Dyne/cm) : 	480						
Hg density (g/cm3) : 	13.5438						
Temperature Hg (°C): 	21						
Pores model : 	Cylindrical						
Sample volume correction : 	Yes						
Region start : 	0						
Region stop : 	1000						
Region number of intervals : 	50						
Pores average mode : 	Range						
Particle size distribution : 	Yes						
Kp factor : 	11.7003						
Cut off radius : 	0-0						
							
* * * Blank parameters	* * *						
Blank data file path : 	C:\POROSDIR\Pascal_2012\SIMONE_TESI\Poros_2000\Dil6new.por						
Blank name instrument : 	Porosimeter 2000						
Num. of blank data points increase : 	216						
Num. of blank data points decrease : 	163						
Filling volume (mm3) : 	447 (from blank file)						
Weight dilatometer (g) : 	44.185 (from blank file)						
Weight dilatometer+Hg (g) : 	244.85 (from blank file)						
Capillary radius (mm) : 	1.5 (from blank file)						
Dilatometer cone height (mm) : 	28 (from blank file)						
Hg density blank (g/cm3) : 	13.5438 (from blank file)						
Temperature Hg (°C): 	21						
							
							
R E S U L T S							
Total cumulative volume (mm3/g) : 	190.5765076						
Total specific surface area (m²/g) : 	4.586999893						
Average pore radius (Micron) : 	0.6358349919						
Total  porosity (%) : 	36.65259933						
Bulk density  (g/cm3) : 	1.92324996						
Bulk density (g/cm3) at 250 (kPa) : 	2.055609941						
Apparent density (g/cm3) : 	3.036040068						
Sample volume correction : 	0.9683452249						
							
P O R E   S I Z E   D I S T R I B U T I O N (custom ranges)							
Pore radius ranges	Specific Volume	Relative Volume	Relative Volume				
(µM)	(mm3/g)	(mm3/g)	(%)				
10000-1000	0.000	0.000	0.000				
1000-100	0.000	0.000	0.000				
100-10	23.060	23.060	12.100				
10-1	54.990	31.930	16.750				
1-.1	150.780	95.790	50.260				
.1-.01	185.370	34.590	18.150				
.01-.001	190.580	5.210	2.730				
							
P A R T I C L E   S I Z E   D I S T R I B U T I O N							
Particle diameter range	Cum. Distr. Vol.	Rel. Distr. Vol.	Cumulative Area				
(µM)	(%)	(%)	(m²/g)				
200-150	1.350	1.350	0.000				
150-90	3.400	2.050	0.001				
90-64	4.800	1.410	0.002				
64-45	6.620	1.810	0.004				
45-32	8.080	1.460	0.005				
32-23	8.370	0.290	0.006				
23-16	13.230	4.860	0.018				
16-14	15.460	2.220	0.024				
14-12	18.790	3.340	0.036				
12-10	23.130	4.330	0.054				
10-8	29.390	6.260	0.086				
8-6	37.650	8.260	0.140				
6-4	47.540	9.890	0.231				
4-2	62.060	14.520	0.459				
2-1	71.600	9.540	0.760				
1-0	90.750	19.150	4.586				
							
D A T A   R E P O R T							
Pressure	Volume	Radius	Spec.Vol.	Rel.Vol.			
(MPa)	(mm3)	(µm)	(mm3/g)	(mm3/g)			
0.009	1.100	88.201	1.220	1.220			
0.009	1.200	87.194	1.330	0.110			
0.009	1.500	84.307	1.660	0.330			
0.009	1.600	83.387	1.770	0.110			
0.009	1.700	81.588	1.880	0.110			
0.009	1.900	79.882	2.110	0.220			
0.010	2.100	78.245	2.330	0.220			
0.010	2.300	77.467	2.550	0.220			
0.010	2.400	75.913	2.660	0.110			
0.010	2.500	75.166	2.770	0.110			
0.010	2.800	73.010	3.100	0.330			
0.010	2.900	72.319	3.220	0.110			
0.010	3.000	71.641	3.330	0.110			
0.011	3.200	70.988	3.550	0.220			
0.011	3.400	70.347	3.770	0.220			
0.011	3.500	69.063	3.880	0.110			
0.011	3.600	68.444	3.990	0.110			
0.011	3.800	67.848	4.210	0.220			
0.011	3.900	67.251	4.320	0.110			
0.011	4.000	66.076	4.430	0.110			
0.012	4.100	64.942	4.550	0.110			
0.012	4.200	64.394	4.660	0.110			
0.012	4.300	63.316	4.770	0.110			
0.012	4.500	62.806	4.990	0.220			
0.012	4.600	62.294	5.100	0.110			
0.012	4.700	60.787	5.210	0.110			
0.013	4.900	59.835	5.430	0.220			
0.013	5.000	59.370	5.540	0.110			
0.013	5.100	58.912	5.650	0.110			
0.013	5.300	58.470	5.880	0.220			
0.013	5.400	58.026	5.990	0.110			
0.013	5.500	57.149	6.100	0.110			
0.013	5.600	56.725	6.210	0.110			
0.013	5.800	56.315	6.430	0.220			
0.014	5.900	55.489	6.540	0.110			
0.014	6.100	55.096	6.760	0.220			
0.014	6.200	54.702	6.870	0.110			
0.014	6.400	53.929	7.100	0.220			
0.014	6.600	53.178	7.320	0.220			
0.014	6.700	52.077	7.430	0.110			
0.015	6.900	51.026	7.650	0.220			
0.015	7.000	50.688	7.760	0.110			
0.015	7.100	50.354	7.870	0.110			
0.015	7.200	50.024	7.980	0.110			
0.015	7.300	49.698	8.090	0.110			
0.015	7.400	49.054	8.200	0.110			
0.015	7.500	48.741	8.310	0.110			
0.015	7.600	48.432	8.430	0.110			
0.016	7.700	47.820	8.540	0.110			
0.016	7.800	47.522	8.650	0.110			
0.016	7.900	47.228	8.760	0.110			
0.016	8.000	46.938	8.870	0.110			
0.016	8.100	46.651	8.980	0.110			
0.016	8.200	46.368	9.090	0.110			
0.016	8.300	45.807	9.200	0.110			
0.017	8.400	45.259	9.310	0.110			
0.017	8.500	44.723	9.420	0.110			
0.017	8.600	44.463	9.530	0.110			
0.017	8.700	44.206	9.650	0.110			
0.017	8.800	43.951	9.760	0.110			
0.017	8.900	43.700	9.870	0.110			
0.017	9.000	43.201	9.980	0.110			
0.017	9.100	42.958	10.090	0.110			
0.018	9.200	42.718	10.200	0.110			
0.018	9.300	42.480	10.310	0.110			
0.018	9.400	42.008	10.420	0.110			
0.018	9.500	41.091	10.530	0.110			
0.018	9.700	40.876	10.750	0.220			
0.019	9.800	40.007	10.860	0.110			
0.019	9.900	39.588	10.980	0.110			
0.019	10.000	39.384	11.090	0.110			
0.019	10.100	38.978	11.200	0.110			
0.019	10.200	38.581	11.310	0.110			
0.020	10.300	37.806	11.420	0.110			
0.020	10.500	37.435	11.640	0.220			
0.020	10.700	36.889	11.860	0.220			
0.021	10.800	36.533	11.970	0.110			
0.021	10.900	36.183	12.080	0.110			
0.021	11.000	35.501	12.200	0.110			
0.021	11.100	35.171	12.310	0.110			
0.022	11.200	34.685	12.420	0.110			
0.022	11.300	34.529	12.530	0.110			
0.022	11.400	34.216	12.640	0.110			
0.022	11.500	33.910	12.750	0.110			
0.022	11.600	33.608	12.860	0.110			
0.022	11.700	33.461	12.970	0.110			
0.023	11.800	33.168	13.080	0.110			
0.023	11.900	32.879	13.190	0.110			
0.023	12.000	32.596	13.300	0.110			
0.023	12.100	32.179	13.410	0.110			
0.023	12.200	32.044	13.530	0.110			
0.024	12.300	31.375	13.640	0.110			
0.024	12.400	30.988	13.750	0.110			
0.024	12.500	30.863	13.860	0.110			
0.024	12.600	30.613	13.970	0.110			
0.025	12.700	30.368	14.080	0.110			
0.025	12.900	30.007	14.300	0.220			
0.025	13.000	29.653	14.410	0.110			
0.025	13.100	29.423	14.520	0.110			
0.026	13.200	28.638	14.630	0.110			
0.026	13.300	28.315	14.750	0.110			
0.027	13.400	28.000	14.860	0.110			
0.027	13.500	27.488	14.970	0.110			
0.028	13.600	26.706	15.080	0.110			
0.028	13.900	26.429	15.410	0.330			
0.029	14.000	25.794	15.520	0.110			
0.029	14.100	25.445	15.630	0.110			
0.030	14.200	25.106	15.740	0.110			
0.030	14.300	25.023	15.850	0.110			
0.030	14.400	24.859	15.960	0.110			
0.031	14.500	24.218	16.080	0.110			
0.031	14.600	23.910	16.190	0.110			
0.032	14.700	23.685	16.300	0.110			
0.032	14.800	23.464	16.410	0.110			
0.032	14.900	23.175	16.520	0.110			
0.033	15.000	22.754	16.630	0.110			
0.033	15.100	22.550	16.740	0.110			
0.034	15.200	22.283	16.850	0.110			
0.034	15.300	22.022	16.960	0.110			
0.035	15.400	21.579	17.070	0.110			
0.035	15.500	21.274	17.180	0.110			
0.036	15.600	20.977	17.290	0.110			
0.036	15.700	20.689	17.410	0.110			
0.036	15.800	20.520	17.520	0.110			
0.037	16.000	20.082	17.740	0.220			
0.039	16.100	19.407	17.850	0.110			
0.039	16.200	19.062	17.960	0.110			
0.040	16.300	18.823	18.070	0.110			
0.040	16.400	18.684	18.180	0.110			
0.041	16.500	18.409	18.290	0.110			
0.042	16.600	17.713	18.400	0.110			
0.043	16.700	17.466	18.510	0.110			
0.043	16.800	17.306	18.630	0.110			
0.044	16.900	17.070	18.740	0.110			
0.045	17.000	16.803	18.850	0.110			
0.045	17.100	16.728	18.960	0.110			
0.045	17.200	16.544	19.070	0.110			
0.047	17.300	16.049	19.180	0.110			
0.047	17.400	15.880	19.290	0.110			
0.048	17.500	15.648	19.400	0.110			
0.049	17.600	15.455	19.510	0.110			
0.050	17.700	15.082	19.620	0.110			
0.050	17.800	14.962	19.730	0.110			
0.050	18.000	14.934	19.960	0.220			
0.050	18.100	14.905	20.070	0.110			
0.051	18.200	14.700	20.180	0.110			
0.052	18.300	14.308	20.290	0.110			
0.053	18.400	14.146	20.400	0.110			
0.054	18.500	13.962	20.510	0.110			
0.054	18.600	13.783	20.620	0.110			
0.055	18.700	13.733	20.730	0.110			
0.055	18.800	13.609	20.840	0.110			
0.056	18.900	13.390	20.950	0.110			
0.057	19.000	13.179	21.060	0.110			
0.058	19.100	12.929	21.180	0.110			
0.058	19.200	12.797	21.290	0.110			
0.059	19.300	12.625	21.400	0.110			
0.060	19.400	12.437	21.510	0.110			
0.061	19.500	12.274	21.620	0.110			
0.063	19.600	11.923	21.730	0.110			
0.063	19.700	11.829	21.840	0.110			
0.064	19.800	11.664	21.950	0.110			
0.065	19.900	11.574	22.060	0.110			
0.065	20.000	11.468	22.170	0.110			
0.067	20.100	11.161	22.280	0.110			
0.067	20.200	11.111	22.390	0.110			
0.068	20.300	10.965	22.510	0.110			
0.071	20.500	10.519	22.730	0.220			
0.072	20.600	10.374	22.840	0.110			
0.073	20.700	10.205	22.950	0.110			
0.075	20.800	10.041	23.060	0.110			
