"";"APPEZZAMENTO";"LAV";"RIGA.CAMPO";"REPLICA";"COND";"SUBJECT";"Sample.Name";"Sample.quantity";"Stirrer.speed";"Ultrasonic.level";"HUMIDITY";"NOMI.RIGA";"d.1";"d.5";"d.9";"D..4..3....Volume.weighted.mean";"TIME";"X0.020000";"X0.022440";"X0.025179";"X0.028251";"X0.031698";"X0.035566";"X0.039905";"X0.044774";"X0.050238";"X0.056368";"X0.063246";"X0.070963";"X0.079621";"X0.089337";"X0.100237";"X0.112468";"X0.126191";"X0.141589";"X0.158866";"X0.178250";"X0.200000";"X0.224404";"X0.251785";"X0.282508";"X0.316979";"X0.355656";"X0.399052";"X0.447744";"X0.502377";"X0.563677";"X0.632456";"X0.709627";"X0.796214";"X0.893367";"X1.002374";"X1.124683";"X1.261915";"X1.415892";"X1.588656";"X1.782502";"X2.000000";"X2.244037";"X2.517851";"X2.825075";"X3.169786";"X3.556559";"X3.990525";"X4.477442";"X5.023773";"X5.636766";"X6.324555";"X7.096268";"X7.962143";"X8.933672";"X10.023745";"X11.246826";"X12.619147";"X14.158916";"X15.886565";"X17.825019";"X20.000000";"X22.440369";"X25.178508";"X28.250751";"X31.697864";"X35.565588";"X39.905246";"X44.774423";"X50.237729";"X56.367659";"X63.245553";"X70.962678";"X79.621434";"X89.336718";"X100.237447";"X112.468265";"X126.191469";"X141.589157";"X158.865647";"X178.250188";"X200.000000";"X224.403691";"X251.785082";"X282.507509";"X316.978638";"X355.655882";"X399.052463";"X447.744228";"X502.377286";"X563.676586";"X632.455532";"X709.626778";"X796.214341";"X893.367184";"X1002.374467";"X1124.682650";"X1261.914689";"X1415.891569";"X1588.656469";"X1782.501876";"X2000.000000"
"11";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.FALSE.dry";"1";300;500;FALSE;"dry";"11";8329;60335;195685;87691;11;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012462;0.061332;0.099896;0.13668;0.162761;0.188179;0.209061;0.228367;0.247358;0.267824;0.29015;0.315621;0.343466;0.37389;0.406334;0.440427;0.476781;0.514474;0.555013;0.597042;0.642089;0.6897;0.740578;0.795505;0.853894;0.918032;0.986245;1.062178;1.145847;1.241974;1.354861;1.489308;1.654943;1.8529;2.095069;2.374364;2.695601;3.045487;3.411556;3.778288;4.116618;4.412528;4.632699;4.766791;4.796843;4.719165;4.535584;4.260118;3.904645;3.505559;3.076138;2.657119;2.259461;1.905178;1.59951;1.339999;1.126252;0.94231;0.784743;0.641475;0.507681;0.372109;0.276536;0.105397;0;0;0;0;0;0;0;0;0
"12";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.FALSE.dry";"1";300;500;FALSE;"dry";"12";8008;59489;218807;106173;12;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012628;0.06216;0.101386;0.138965;0.165851;0.192211;0.214073;0.234391;0.254384;0.275843;0.299113;0.325522;0.354299;0.385702;0.419203;0.454463;0.492146;0.531319;0.573556;0.617415;0.664405;0.713901;0.766447;0.822643;0.881746;0.946016;1.013851;1.089085;1.172042;1.267784;1.380998;1.516804;1.685035;1.8865;2.132444;2.414328;2.735136;3.079271;3.432215;3.776643;4.083457;4.338443;4.512344;4.597068;4.58084;4.464525;4.254766;3.968687;3.619314;3.24145;2.845851;2.467658;2.113659;1.800151;1.528745;1.295032;1.097757;0.923208;0.772929;0.639029;0.525089;0.430048;0.356165;0.304111;0.271189;0.254289;0.24522;0.236638;0.220936;0.194341;0.16263;0.105057;0.067452
"13";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.TRUE.dry";"1";300;500;TRUE;"dry";"13";3464;32754;171003;87527;1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.060308;0.088011;0.122112;0.154123;0.192546;0.233883;0.279544;0.329028;0.382509;0.440073;0.500397;0.564617;0.629723;0.697195;0.764213;0.831482;0.898109;0.963751;1.029646;1.094202;1.159985;1.224815;1.291281;1.359111;1.430028;1.506025;1.5873;1.677935;1.776007;1.886387;2.007224;2.141473;2.289256;2.449639;2.625025;2.807662;2.999051;3.184438;3.3582;3.503739;3.608419;3.659864;3.648645;3.56952;3.428103;3.228148;2.987797;2.7209;2.445344;2.178602;1.926983;1.70431;1.503909;1.33049;1.174273;1.032504;0.89961;0.771302;0.649942;0.534603;0.435322;0.35454;0.299411;0.270602;0.267318;0.284281;0.313916;0.344825;0.36636;0.369616;0.349193;0.305213;0.252361;0.161062;0.102658
"14";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.TRUE.dry";"1";300;500;TRUE;"dry";"14";2760;24267;130375;54388;2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06926;0.103059;0.147206;0.188198;0.237838;0.291374;0.35054;0.41462;0.483717;0.557832;0.635161;0.717062;0.799627;0.884687;0.968664;1.052455;1.134952;1.215733;1.296246;1.374374;1.452922;1.528915;1.605084;1.681028;1.758998;1.841845;1.930706;2.030823;2.140302;2.263973;2.39799;2.542738;2.694551;2.848374;3.001909;3.14469;3.274619;3.378992;3.452401;3.484365;3.46831;3.398564;3.276227;3.10045;2.886398;2.638841;2.378765;2.117812;1.870563;1.649059;1.455101;1.295233;1.16068;1.050923;0.956349;0.873084;0.796461;0.723068;0.653358;0.585345;0.521895;0.460541;0.399872;0.333789;0.270819;0.180064;0.11277;0.007831;0;0;0;0;0;0;0
"15";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.TRUE.dry";"1";300;500;TRUE;"dry";"15";2476;20616;117908;48006;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.074768;0.112365;0.162818;0.20944;0.266103;0.327254;0.394821;0.467941;0.546672;0.630957;0.7187;0.811399;0.904598;1.000329;1.094523;1.188126;1.279809;1.369002;1.457189;1.541996;1.626455;1.707437;1.788024;1.867997;1.949925;2.036908;2.130049;2.234489;2.347695;2.473866;2.607966;2.748892;2.891066;3.027547;3.153578;3.258148;3.337158;3.380385;3.383148;3.340194;3.250058;3.112675;2.936389;2.723912;2.494767;2.253551;2.018983;1.797679;1.597821;1.424667;1.27574;1.15324;1.049124;0.962858;0.887605;0.821121;0.759449;0.698408;0.636009;0.567451;0.495337;0.415227;0.333199;0.255891;0.151428;0.077673;0;0;0;0;0;0;0;0;0
"16";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.TRUE.dry";"1";300;500;TRUE;"dry";"16";2351;19215;136455;53914;4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.076827;0.116221;0.170001;0.219608;0.280083;0.345445;0.417735;0.496017;0.580322;0.670564;0.764461;0.863575;0.963091;1.065112;1.165206;1.264268;1.360757;1.453954;1.545305;1.632323;1.718134;1.799648;1.880152;1.959625;2.040816;2.126889;2.218843;2.321393;2.431469;2.552334;2.678101;2.806567;2.931241;3.044575;3.140739;3.209595;3.246413;3.243992;3.198869;3.109872;2.97892;2.809314;2.612855;2.393557;2.171614;1.951085;1.748571;1.568324;1.415199;1.290491;1.189176;1.10884;1.040641;0.981663;0.92609;0.872803;0.820402;0.767515;0.714596;0.659081;0.602129;0.540272;0.474026;0.402244;0.322855;0.249962;0.170037;0.085292;0.022303;0;0;0;0;0;0
"17";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.TRUE.dry";"1";300;500;TRUE;"dry";"17";2215;17261;124007;49079;5;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08102;0.122872;0.180405;0.233521;0.298416;0.368695;0.44657;0.531048;0.622174;0.719857;0.82162;0.929129;1.037114;1.147777;1.256196;1.363193;1.466936;1.566504;1.663333;1.754794;1.84426;1.928676;2.011652;2.093308;2.176511;2.264392;2.357675;2.460626;2.569481;2.686563;2.805028;2.921609;3.029038;3.11953;3.186849;3.222502;3.221929;3.181158;3.097985;2.974373;2.814328;2.622971;2.413778;2.19103;1.974701;1.767816;1.584773;1.427432;1.297777;1.194302;1.110312;1.041908;0.980856;0.924985;0.870184;0.816991;0.765264;0.714272;0.664468;0.613;0.559742;0.50119;0.435852;0.359792;0.285939;0.183644;0.110715;0.007658;0;0;0;0;0;0;0
"18";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.TRUE.dry";"1";300;500;TRUE;"dry";"18";2152;16535;142921;56648;6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.082232;0.125186;0.184808;0.23984;0.307217;0.380287;0.461345;0.549352;0.64434;0.746192;0.852289;0.964325;1.076747;1.191769;1.30418;1.414735;1.521431;1.623244;1.721591;1.81382;1.9034;1.987409;2.069649;2.150426;2.232682;2.319451;2.411176;2.511556;2.616254;2.726618;2.835025;2.937264;3.025589;3.092401;3.131662;3.137222;3.105615;3.036579;2.929809;2.790017;2.622407;2.43252;2.232829;2.025873;1.828112;1.639899;1.471913;1.323823;1.196409;1.088612;0.995422;0.916448;0.847281;0.790386;0.745554;0.716262;0.703078;0.704537;0.716255;0.731383;0.739613;0.730556;0.695402;0.628789;0.524715;0.408539;0.261472;0.102264;0.024914;0;0;0;0;0;0
"19";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.TRUE.dry";"1";300;500;TRUE;"dry";"19";2051;15066;110759;44438;7;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.086026;0.13141;0.194922;0.253492;0.325296;0.403207;0.489662;0.583543;0.684868;0.7935;0.906633;1.026058;1.145838;1.268298;1.387832;1.505164;1.618065;1.725348;1.828415;1.924467;2.017146;2.103508;2.187582;2.269758;2.353032;2.440319;2.5317;2.630291;2.731204;2.835018;2.933725;3.022726;3.094437;3.141986;3.160039;3.144469;3.092571;3.006257;2.885902;2.737211;2.56541;2.375667;2.179512;1.978428;1.787656;1.607214;1.447566;1.308962;1.192598;1.097388;1.018113;0.952654;0.894704;0.843149;0.794329;0.748273;0.703955;0.659718;0.615033;0.566651;0.514156;0.454438;0.386314;0.306151;0.230116;0.120575;0.050345;0;0;0;0;0;0;0;0
"20";"OO2";"Ara";"1";"m";"OO";"OO.Ara.1.TRUE.dry";"1";300;500;TRUE;"dry";"20";2002;14346;109365;42692;8;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.087666;0.134006;0.199024;0.259136;0.332991;0.413335;0.502727;0.600041;0.705324;0.818443;0.936452;1.06117;1.186311;1.314179;1.43877;1.56069;1.677489;1.787879;1.893328;1.991093;2.085022;2.172259;2.256922;2.339334;2.422337;2.508543;2.59763;2.692089;2.786637;2.881111;2.96738;3.040678;3.093938;3.121369;3.118577;3.083446;3.013919;2.913682;2.783475;2.629573;2.457005;2.270549;2.08095;1.889154;1.709252;1.540825;1.393272;1.266545;1.161775;1.078016;1.010531;0.956725;0.910195;0.868587;0.827355;0.784902;0.738897;0.686949;0.629084;0.563108;0.493209;0.416253;0.338011;0.263946;0.167385;0.089545;0;0;0;0;0;0;0;0;0
