"TRT" "APPEZZAMENTO" "COD" "LAVORAZIONE" "PARCELLA" "REPLICA" "P.Spinta.gr" "P.105.gr" "densita.apparente"
"75" "OO" "2" "C" "Fzo" "1" "m" 3.839 9.393 1.86289857279409
"76" "OO" "2" "C" "Fzo" "2" "a" 4.1365 9.716 1.79856562121657
"77" "OO" "2" "C" "Fzo" "2" "b" 3.9575 9.477 1.82353619591046
"78" "OO" "2" "C" "Fzo" "2" "m" 4.4295 9.909 1.71671716905205
"79" "OO" "2" "C" "Fzo" "3" "a" 5.028 12.5875 1.90639346591342
"80" "OO" "2" "C" "Fzo" "3" "b" 4.2175 10.064 1.82140660536185
"81" "OO" "2" "C" "Fzo" "3" "m" 3.129 7.65 1.86190053906409
"82" "OO" "4" "A" "Ara" "1" "a" 3.323 8.0485 1.84072724460004
"83" "OO" "4" "A" "Ara" "1" "b" 5.0695 12.4245 1.86480720438259
"84" "OO" "4" "A" "Ara" "1" "m" 4.39 10.628 1.86207092263624
"85" "OO" "4" "A" "Ara" "2" "a" 4.9095 12.034 1.86242910825739
"86" "OO" "4" "A" "Ara" "2" "b" 5.9055 14.231 1.83495423466366
"87" "OO" "4" "A" "Ara" "2" "m" 3.5965 9.2195 1.95569178395923
"88" "OO" "4" "A" "Ara" "3" "a" 4.5905 11.3905 1.89209345384721
"89" "OO" "4" "A" "Ara" "3" "b" 5.1045 12.487 1.85848679326681
"90" "OO" "4" "A" "Ara" "3" "m" 4.474 10.9565 1.87790684538134
"91" "OO" "4" "B" "Rip" "1" "a" 3.2955 8.3725 1.92838649398154
"92" "OO" "4" "B" "Rip" "1" "b" 3.634 9.303 1.95423427832269
"93" "OO" "4" "B" "Rip" "1" "m" 3.4595 8.214 1.80781171630854
"94" "OO" "4" "B" "Rip" "2" "a" 3.725 9.8345 2.0022257146431
"95" "OO" "4" "B" "Rip" "2" "b" 4.763 11.4535 1.8317163664801
"96" "OO" "4" "B" "Rip" "2" "m" 4.2055 10.6335 1.92419411544928
"97" "OO" "4" "B" "Rip" "3" "a" 3.179 7.4395 1.80809332716918
"98" "OO" "4" "B" "Rip" "3" "b" 3.678 8.993 1.86000530672959
"99" "OO" "4" "B" "Rip" "3" "m" 3.2615 8.082 1.87993116828913
"100" "OO" "4" "C" "Fzo" "1" "a" 4.855 12.0395 1.90073445323755
"101" "OO" "4" "C" "Fzo" "1" "b" 5.063 13.001 1.94873619540482
"102" "OO" "4" "C" "Fzo" "1" "m" 3.7515 9.3405 1.89748065949425
"103" "OO" "4" "C" "Fzo" "2" "a" 3.6795 8.478 1.76927874200862
"104" "OO" "4" "C" "Fzo" "2" "b" 3.592 8.816 1.87160768878045
"105" "OO" "4" "C" "Fzo" "2" "m" 4.289 10.1265 1.79715570362437
"106" "OO" "4" "C" "Fzo" "3" "a" 4.66 11.5015 1.8804361776755
"107" "OO" "4" "C" "Fzo" "3" "b" 3.2495 7.492 1.75646012238205
"108" "OO" "4" "C" "Fzo" "3" "m" 3.289 8.0955 1.8776426401816
