"YEAR";"TRT";"APPEZZAMENTO";"PARCELLA";"LAVORAZIONE";"REPLICA";"densita.apparente";"densita.clod";"Diam.Medio.Pori";"Diam.Medio.Aggr.Dry";"Diam.Medio.Aggr.Wet";"Nitrogen";"Carbon";"Nitrogen_HCl";"Carbon_HCl"
"49";"y16";"CO";9;3;"Fzo";"m";1.38233537939764;1.90929832711962;NA;191.299;239.713;0.1474950685;3.686945915;0.126402594;0.8115216495
"50";"y16";"CO";9;3;"Rip";"m";1.29542915547527;1.87996171858883;NA;130.824;188.375;0.1322590855;3.639551759;0.1125928725;0.8047015075
"51";"y16";"OO";2;1;"Ara";"m";1.28646078466867;1.88709594474777;NA;136.589;222.401;0.1463244185;2.86497879;0.1160472075;0.7877759335
"52";"y16";"OO";2;1;"Fzo";"m";1.341945343187;1.85402613806693;NA;210.7;222.568;0.122829404;3.237120867;0.1381337195;0.925888091
"53";"y16";"OO";2;1;"Rip";"m";1.26077903132831;1.93252394446403;NA;271.237;331.867;0.142655425;3.130655527;0.1424558015;0.9837906955
"54";"y16";"OO";2;2;"Ara";"m";1.3334192943383;2.00429555515768;4.53087334250688;326.764;438.61;0.114633478;3.399377823;0.1112217975;0.8814849855
"55";"y16";"OO";2;2;"Fzo";"m";1.30393085342316;1.77960632872636;6.75537543244822;161.678;199.265;0.1276657135;2.772100449;0.109617073;0.846273065
"56";"y16";"OO";2;2;"Rip";"m";1.39124606049203;1.83661636846287;10.0203096797671;257.578;241.192;0.1329919435;3.2242482905;0.131373316;1.0178056065
"57";"y16";"OO";2;3;"Ara";"m";1.36584105509166;1.8999515558172;NA;139.16;227.145;0.1260803195;3.538597226;0.10869097;0.760767013
"58";"y16";"OO";2;3;"Fzo";"m";1.26597116399015;1.86323353677979;NA;228.908;283.54;0.14643921;3.4972800015;0.10165957;0.8164022565
"59";"y16";"OO";2;3;"Rip";"m";1.34972225505259;1.81061329134065;NA;129.646;244.403;0.1407738925;2.9487333295;0.1052896565;0.777514398
"60";"y16";"OO";4;1;"Ara";"m";1.35558706956111;1.85586845720629;NA;139.973;219.97;0.139968075;2.873493552;0.111730162;0.852977097
"61";"y16";"OO";4;1;"Fzo";"m";1.38055222088836;1.91565043604554;NA;171.65;237.808;0.112564959;2.8359918595;0.108536832;0.859339386
"62";"y16";"OO";4;1;"Rip";"m";1.33213960546282;1.89681082953759;NA;199.142;216.969;0.125316318;2.9171850685;0.091848187;0.7535646957
"63";"y16";"OO";4;2;"Ara";"m";1.43244022241704;1.88435837562676;1.93155954825462;115.804;160.306;0.1466225385;2.9657663105;0.1200352015;0.7713085415
"64";"y16";"OO";4;2;"Fzo";"m";1.32973949894055;1.81268071147115;3.41471412402735;215.792;253.368;0.0982826915;2.758056045;0.097095887;0.6987526023
"65";"y16";"OO";4;2;"Rip";"m";1.38183605751505;1.91937873219083;2.52756244611405;176.829;182.239;0.1063202285;2.861300111;0.116063196;0.856588572
"66";"y16";"OO";4;3;"Ara";"m";1.4386759359653;1.87616236416512;NA;122.079;359.729;0.126891274;3.14937675;0.1077711435;0.753243357
"67";"y16";"OO";4;3;"Fzo";"m";1.46844583987441;1.83817964674638;NA;145.672;198.58;0.1281967205;3.3175195455;0.117666189;0.8618210855
"68";"y16";"OO";4;3;"Rip";"m";1.68885261757949;1.84934326739597;NA;249.156;217.231;0.1465857775;3.185487032;0.1106092445;0.7963236865
