"YEAR" "TRT" "APPEZZAMENTO" "PARCELLA" "LAVORAZIONE" "REPLICA" "densita.apparente"
"94" "y15" "CO" "9" "2" "Fzo" "b" NA
"95" "y15" "CO" "9" "2" "Fzo" "m" 1.22622092315187
"96" "y15" "CO" "9" "2" "Fzo" "a" NA
"97" "y15" "CO" "9" "2" "Rip" "b" NA
"98" "y15" "CO" "9" "2" "Rip" "m" 1.33703655858416
"99" "y15" "CO" "9" "2" "Rip" "a" NA
"100" "y15" "CO" "9" "3" "Ara" "b" NA
"101" "y15" "CO" "9" "3" "Ara" "m" 1.48423450425608
"102" "y15" "CO" "9" "3" "Ara" "a" NA
"103" "y15" "CO" "9" "3" "Fzo" "b" NA
"104" "y15" "CO" "9" "3" "Fzo" "m" 1.32658334334816
"105" "y15" "CO" "9" "3" "Fzo" "a" NA
"106" "y15" "CO" "9" "3" "Rip" "b" NA
"107" "y15" "CO" "9" "3" "Rip" "m" 1.28525210596997
"108" "y15" "CO" "9" "3" "Rip" "a" NA
"109" "y15" "CO" "10" "1" "Ara" "b" NA
"110" "y15" "CO" "10" "1" "Ara" "m" 1.49788217173662
"111" "y15" "CO" "10" "1" "Ara" "a" NA
"112" "y15" "CO" "10" "1" "Rip" "b" NA
"113" "y15" "CO" "10" "1" "Rip" "m" 1.3243922883487
"114" "y15" "CO" "10" "1" "Rip" "a" NA
"115" "y15" "CO" "10" "2" "Ara" "b" NA
"116" "y15" "CO" "10" "2" "Ara" "m" 1.18520228404811
"117" "y15" "CO" "10" "2" "Ara" "a" NA
"118" "y15" "CO" "10" "2" "Fzo" "b" NA
"119" "y15" "CO" "10" "2" "Fzo" "m" 1.37252490468577
"120" "y15" "CO" "10" "2" "Fzo" "a" NA
"121" "y15" "CO" "10" "3" "Fzo" "b" NA
"122" "y15" "CO" "10" "3" "Fzo" "m" 1.39208864837006
"123" "y15" "CO" "10" "3" "Fzo" "a" NA
"124" "y15" "CO" "10" "3" "Rip" "b" NA
"125" "y15" "CO" "10" "3" "Rip" "m" 1.54370965777615
"126" "y15" "CO" "10" "3" "Rip" "a" NA
