"x"
"1";1.083
"2";0.932
"3";1.232
"4";0.902
"5";1.034
"6";1.103
"7";0.902
"8";1.179
"9";0.98
"10";1.185
"11";1
"12";1.111
"13";0.994
"14";1.037
"15";1.182
"16";1.097
